,V1,V2,V3,V4,average phenotypes
775,1.67162948,-1.727469864,-1.890284787,0.050915896,-0.64870839
2166,-0.25270276,0.409522431,0.309385527,-1.738758824,0.155401732
2167,0.341815127,-0.648626327,-0.799559211,-1.053569074,-0.368790137
2465,0.785439489,0.093949194,0.570467725,0.55175735,0.483285469
3881,0.998317613,-0.282480618,1.618681922,-0.114284847,0.778172972
3889,2.336096876,0.626475867,0.073533109,0.719585572,1.012035284
3895,0.617410817,-0.313592403,0.054325703,0.003353815,0.119381372
4248,0.647218152,-0.424040504,-0.708083307,0.96432654,-0.16163522
5131,-0.967639024,-1.789263083,-1.936039632,-1.502757762,-1.564313913
6387,-1.050822664,-1.617622987,-1.987208702,-0.562403664,-1.551884784
12867,1.685767604,-0.269196721,-0.212643726,0.347223096,0.401309052
13098,0.89101935,-0.189898377,-0.381945945,0.692406116,0.106391676
13302,1.17418089,-0.207637663,0.75160353,-0.191638129,0.572715586
13350,0.316022824,-0.653651298,-0.43037834,0.006807298,-0.256002271
13396,0.797614889,-0.633823547,-0.69790524,-0.236084995,-0.178037966
13421,1.001363499,0.142933167,-0.158493031,-0.634352521,0.328601212
13469,2.339712848,-0.194708173,-0.373009518,0.435259359,0.590665053
13569,1.813670391,-0.359614555,-0.523357727,-0.576453594,0.310232703
13728,0.950023214,-0.851409851,-0.767698905,-1.032069378,-0.223028514
13767,1.842361987,0.323091665,-0.220684821,0.098116109,0.648256277
13954,0.665868096,-0.488896804,-0.718396518,0.266062331,-0.180475075
14103,-0.437956163,-0.862459724,-0.928250521,0.397255321,-0.742888802
14431,1.650976092,0.22104172,-0.414963425,0.695985466,0.485684796
15200,-0.40152769,-1.953574569,-1.528384823,-0.961111725,-1.294495694
15292,-1.127238572,-0.236205319,0.600934354,-1.337557019,-0.254169846
16004,-0.485240695,-0.274386238,0.308836502,-0.266851667,-0.150263477
16122,0.858573333,8.86E-05,0.065475121,-0.449972758,0.308045671
16262,2.593962902,0.069267347,-0.987916799,0.385250734,0.558437817
19627,0.967549276,1.310916144,0.803127355,-0.687248226,1.027197592
19630,-0.519046774,0.41790793,0.56994404,-1.192384899,0.156268399
20010,0.985775728,0.398352313,0.953940123,0.652278069,0.779356055
20424,3.278920805,-0.273025572,-1.408832658,0.973947517,0.532354192
20585,-1.305113438,-2.873682186,-2.228348647,-1.224803578,-2.135714757
20934,0.434111993,-0.381543426,0.135682666,-0.541336636,0.062750411
27001,0.265708694,-0.362196655,-0.070674474,0.01109465,-0.055720812
30709,0.345105336,-1.059420864,0.233451235,-0.836448097,-0.160288098
31089,-1.401018132,-1.406434977,-1.764110543,-0.879321623,-1.52385455
39359,1.495049524,-1.413731944,-1.233474278,-0.032471146,-0.384052232
41263,0.56560632,-0.360525884,-0.824746759,-0.414399531,-0.206555441
41418,0.121248991,-0.382226924,-0.629505251,-0.21851865,-0.296827728
41471,0.748286193,1.42230089,1.167983604,-0.954055293,1.112856895
41484,0.282216745,1.061629488,1.187596443,-1.624691644,0.843814225
41542,1.142190941,-0.059521266,0.401537153,0.18150315,0.49473561
41660,-1.275265382,-0.035174839,0.807570229,-1.255939985,-0.167623331
41669,-0.280189032,-0.608920196,-1.458388441,-0.533186732,-0.782499223
41686,0.409679751,-0.699363344,-0.614538003,-0.051909767,-0.301407198
41709,0.004511739,-0.76337793,-0.750603132,-0.393127969,-0.503156441
41761,0.535644247,-0.12263085,-0.498862794,0.510889833,-0.028616466
41800,0.686040984,-0.409668075,-0.697719416,0.078449353,-0.140448836
41804,-0.456435082,0.068761052,0.498832716,-0.434506822,0.037052896
41948,0.580713589,0.439381137,0.632515924,-0.295824731,0.550870217
42066,0.139231121,-0.483403511,-0.516600504,-0.318819101,-0.286924298
42076,0.025385018,-0.347343246,-0.336723231,-0.691559178,-0.219560487
42083,0.309238805,-0.906349111,-0.597965914,0.18436663,-0.39835874
42174,-0.365522709,0.105916725,1.686009202,-1.011088883,0.475467739
42237,-1.092259746,-0.283486878,1.563238909,-1.365090476,0.062497428
42274,0.449406577,-0.134206004,0.22090814,-0.556566571,0.178702904
43154,0.030711247,0.231060019,-0.177041608,-1.814806233,0.028243219
43789,-0.67020091,-0.122662494,0.837893266,-0.983555426,0.015009954
60900,0.257466884,-2.379095942,-1.313108149,0.613385094,-1.144912402
62114,0.142285151,0.199353338,3.057970393,-0.765254443,1.133202961
62150,1.122970911,1.043269991,1.207792093,-0.335858378,1.124677665
62221,1.083260374,0.921942891,0.216558177,-0.075509873,0.740587147
62256,0.502253516,-0.09930334,-0.640764474,0.021297763,-0.079271433
62526,0.824197168,-0.281411071,-0.423714029,-1.294203624,0.039690689
62576,1.239146222,-0.956484904,-0.955532808,-0.458563197,-0.224290497
62587,-0.87979697,-0.281980652,-0.609934645,-2.89909738,-0.590570756
62603,0.70277707,0.561208203,-0.731986983,-0.838021438,0.177332763
62627,0.560687295,-0.126193896,-0.405106326,0.101066122,0.009795691
62633,0.381183613,-0.455272534,-0.590321805,0.238403007,-0.221470242
64869,0.52587135,1.251034186,1.413008951,-2.090140806,1.063304829
64873,0.160755926,-0.276189911,0.578939593,-2.581809685,0.154501869
65038,0.33457504,-0.254286354,-0.946528809,-1.061435776,-0.288746708
65315,0.873330407,-0.674903001,0.358096657,-0.059745002,0.185508021
67055,-0.934574057,-0.462949221,-0.202879539,-0.856209253,-0.533467606
67929,1.706201103,-0.305187917,-0.679618505,0.0666493,0.240464893
